Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Temperature
2016,1,1,0,30,0,0,0,-2.7
2016,1,1,1,30,0,0,0,5.4
2016,1,1,2,30,0,0,0,5.1000000000000005
2016,1,1,3,30,0,0,0,4.7
2016,1,1,4,30,0,0,0,4.3
2016,1,1,5,30,0,0,0,3.9000000000000004
2016,1,1,6,30,0,0,0,3.7
2016,1,1,7,30,0,0,0,3.4000000000000004
2016,1,1,8,30,0,0,0,3.1
2016,1,1,9,30,11,11,0,3.4000000000000004
2016,1,1,10,30,34,34,0,4
2016,1,1,11,30,71,71,3,4.9
2016,1,1,12,30,113,117,14,5.9
2016,1,1,13,30,107,112,19,6.7
2016,1,1,14,30,10,10,0,7
2016,1,1,15,30,19,19,0,6.9
2016,1,1,16,30,3,3,0,6.4
2016,1,1,17,30,0,0,0,5.9
2016,1,1,18,30,0,0,0,5.5
2016,1,1,19,30,0,0,0,5.2
2016,1,1,20,30,0,0,0,5
2016,1,1,21,30,0,0,0,4.9
2016,1,1,22,30,0,0,0,4.800000000000001
2016,1,1,23,30,0,0,0,4.7
2016,1,2,0,30,0,0,0,4.7
2016,1,2,1,30,0,0,0,4.7
2016,1,2,2,30,0,0,0,4.800000000000001
2016,1,2,3,30,0,0,0,4.9
2016,1,2,4,30,0,0,0,4.800000000000001
2016,1,2,5,30,0,0,0,4.9
2016,1,2,6,30,0,0,0,5.2
2016,1,2,7,30,0,0,0,5.7
2016,1,2,8,30,0,0,0,6.1000000000000005
2016,1,2,9,30,4,4,0,6.6000000000000005
2016,1,2,10,30,58,131,417,7.300000000000001
2016,1,2,11,30,75,200,515,8.5
2016,1,2,12,30,100,100,2,9.5
2016,1,2,13,30,36,36,0,9.9
2016,1,2,14,30,7,7,0,9.8
2016,1,2,15,30,6,6,0,9.1
2016,1,2,16,30,3,3,0,8.5
2016,1,2,17,30,0,0,0,8.3
2016,1,2,18,30,0,0,0,8.1
2016,1,2,19,30,0,0,0,7.9
2016,1,2,20,30,0,0,0,7.9
2016,1,2,21,30,0,0,0,8
2016,1,2,22,30,0,0,0,7.800000000000001
2016,1,2,23,30,0,0,0,7.800000000000001
2016,1,3,0,30,0,0,0,7.9
2016,1,3,1,30,0,0,0,8.1
2016,1,3,2,30,0,0,0,8.1
2016,1,3,3,30,0,0,0,7.9
2016,1,3,4,30,0,0,0,7.5
2016,1,3,5,30,0,0,0,6.800000000000001
2016,1,3,6,30,0,0,0,5.9
2016,1,3,7,30,0,0,0,5
2016,1,3,8,30,0,0,0,4.4
2016,1,3,9,30,6,6,0,4.3
2016,1,3,10,30,52,53,3,4.6000000000000005
2016,1,3,11,30,93,97,15,5
2016,1,3,12,30,44,44,0,5.300000000000001
2016,1,3,13,30,40,40,0,5.5
2016,1,3,14,30,4,4,0,5.6000000000000005
2016,1,3,15,30,3,3,0,5.6000000000000005
2016,1,3,16,30,4,4,0,5.6000000000000005
2016,1,3,17,30,0,0,0,5.5
2016,1,3,18,30,0,0,0,5.300000000000001
2016,1,3,19,30,0,0,0,4.9
2016,1,3,20,30,0,0,0,4.3
2016,1,3,21,30,0,0,0,3.6
2016,1,3,22,30,0,0,0,3.1
2016,1,3,23,30,0,0,0,3
2016,1,4,0,30,0,0,0,3.5
2016,1,4,1,30,0,0,0,4.1000000000000005
2016,1,4,2,30,0,0,0,4.5
2016,1,4,3,30,0,0,0,4.9
2016,1,4,4,30,0,0,0,5.2
2016,1,4,5,30,0,0,0,5.300000000000001
2016,1,4,6,30,0,0,0,5.300000000000001
2016,1,4,7,30,0,0,0,5
2016,1,4,8,30,0,0,0,4.800000000000001
2016,1,4,9,30,9,9,0,4.800000000000001
2016,1,4,10,30,4,4,0,5.300000000000001
2016,1,4,11,30,22,22,0,6.300000000000001
2016,1,4,12,30,88,88,0,7.1000000000000005
2016,1,4,13,30,62,62,0,7.4
2016,1,4,14,30,7,7,0,7.4
2016,1,4,15,30,12,12,0,6.9
2016,1,4,16,30,5,5,0,6.2
2016,1,4,17,30,0,0,0,5.7
2016,1,4,18,30,0,0,0,5.5
2016,1,4,19,30,0,0,0,5.4
2016,1,4,20,30,0,0,0,5.300000000000001
2016,1,4,21,30,0,0,0,5.300000000000001
2016,1,4,22,30,0,0,0,5.2
2016,1,4,23,30,0,0,0,5
2016,1,5,0,30,0,0,0,4.800000000000001
2016,1,5,1,30,0,0,0,4.6000000000000005
