Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Temperature
2015,1,1,0,30,0,0,0,5.4
2015,1,1,1,30,0,0,0,-0.1
2015,1,1,2,30,0,0,0,-0.5
2015,1,1,3,30,0,0,0,-0.6000000000000001
2015,1,1,4,30,0,0,0,-0.8
2015,1,1,5,30,0,0,0,-1
2015,1,1,6,30,0,0,0,-1.2000000000000002
2015,1,1,7,30,0,0,0,-1.2000000000000002
2015,1,1,8,30,0,0,0,-1.1
2015,1,1,9,30,24,48,317,-0.2
2015,1,1,10,30,43,141,561,0.9
2015,1,1,11,30,124,127,12,2
2015,1,1,12,30,141,164,84,2.9000000000000004
2015,1,1,13,30,130,145,56,3.4000000000000004
2015,1,1,14,30,88,91,13,3.3000000000000003
2015,1,1,15,30,23,23,0,2.7
2015,1,1,16,30,2,2,0,2
2015,1,1,17,30,0,0,0,1.6
2015,1,1,18,30,0,0,0,1.4000000000000001
2015,1,1,19,30,0,0,0,1.2000000000000002
2015,1,1,20,30,0,0,0,1
2015,1,1,21,30,0,0,0,0.8
2015,1,1,22,30,0,0,0,0.8
2015,1,1,23,30,0,0,0,0.9
2015,1,2,0,30,0,0,0,1.2000000000000002
2015,1,2,1,30,0,0,0,1.7000000000000002
2015,1,2,2,30,0,0,0,2.3000000000000003
2015,1,2,3,30,0,0,0,3
2015,1,2,4,30,0,0,0,3.8000000000000003
2015,1,2,5,30,0,0,0,4.5
2015,1,2,6,30,0,0,0,5.2
2015,1,2,7,30,0,0,0,6.4
2015,1,2,8,30,0,0,0,7.5
2015,1,2,9,30,6,6,0,7.9
2015,1,2,10,30,3,3,0,8.1
2015,1,2,11,30,109,117,34,8
2015,1,2,12,30,145,175,109,8
2015,1,2,13,30,60,248,698,7.9
2015,1,2,14,30,54,198,650,7.300000000000001
2015,1,2,15,30,42,112,492,5.9
2015,1,2,16,30,17,21,128,4.5
2015,1,2,17,30,0,0,0,3.7
2015,1,2,18,30,0,0,0,3
2015,1,2,19,30,0,0,0,2.8000000000000003
2015,1,2,20,30,0,0,0,3.1
2015,1,2,21,30,0,0,0,3.3000000000000003
2015,1,2,22,30,0,0,0,2.4000000000000004
2015,1,2,23,30,0,0,0,1.2000000000000002
2015,1,3,0,30,0,0,0,1.4000000000000001
2015,1,3,1,30,0,0,0,2.3000000000000003
2015,1,3,2,30,0,0,0,2.5
2015,1,3,3,30,0,0,0,2.4000000000000004
2015,1,3,4,30,0,0,0,2.2
2015,1,3,5,30,0,0,0,1.9000000000000001
2015,1,3,6,30,0,0,0,1.7000000000000002
2015,1,3,7,30,0,0,0,1.5
2015,1,3,8,30,0,0,0,1.2000000000000002
2015,1,3,9,30,3,3,0,1
2015,1,3,10,30,4,4,0,1.1
2015,1,3,11,30,6,6,0,1.5
2015,1,3,12,30,10,10,0,1.8
2015,1,3,13,30,8,8,0,1.8
2015,1,3,14,30,6,6,0,1.8
2015,1,3,15,30,9,9,0,1.8
2015,1,3,16,30,2,2,0,1.7000000000000002
2015,1,3,17,30,0,0,0,1.4000000000000001
2015,1,3,18,30,0,0,0,0.9
2015,1,3,19,30,0,0,0,0.30000000000000004
2015,1,3,20,30,0,0,0,0.1
2015,1,3,21,30,0,0,0,0.8
2015,1,3,22,30,0,0,0,1.6
2015,1,3,23,30,0,0,0,2.4000000000000004
2015,1,4,0,30,0,0,0,2.9000000000000004
2015,1,4,1,30,0,0,0,2.9000000000000004
2015,1,4,2,30,0,0,0,2.3000000000000003
2015,1,4,3,30,0,0,0,1.3
2015,1,4,4,30,0,0,0,0.5
2015,1,4,5,30,0,0,0,0.2
2015,1,4,6,30,0,0,0,-0.1
2015,1,4,7,30,0,0,0,-0.30000000000000004
2015,1,4,8,30,0,0,0,0
2015,1,4,9,30,28,51,308,1.9000000000000001
2015,1,4,10,30,47,147,567,4
2015,1,4,11,30,56,223,681,5
2015,1,4,12,30,59,259,718,5.5
2015,1,4,13,30,58,252,714,5.5
2015,1,4,14,30,51,201,661,4.7
2015,1,4,15,30,39,116,533,2.5
2015,1,4,16,30,16,24,227,0.4
2015,1,4,17,30,0,0,0,-0.6000000000000001
2015,1,4,18,30,0,0,0,-1.1
2015,1,4,19,30,0,0,0,-1.5
2015,1,4,20,30,0,0,0,-1.7000000000000002
2015,1,4,21,30,0,0,0,-1.7000000000000002
2015,1,4,22,30,0,0,0,-1.2000000000000002
2015,1,4,23,30,0,0,0,-0.4
2015,1,5,0,30,0,0,0,0
2015,1,5,1,30,0,0,0,0.2
2015,1,5,2,30,0,0,0,0.30000000000000004
2015,1,5,3,30,0,0,0,0.2
