Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Temperature
2018,1,1,0,30,0,0,0,5.9
2018,1,1,1,30,0,0,0,6.7
2018,1,1,2,30,0,0,0,6.7
2018,1,1,3,30,0,0,0,6.7
2018,1,1,4,30,0,0,0,6.7
2018,1,1,5,30,0,0,0,6.2
2018,1,1,6,30,0,0,0,5.4
2018,1,1,7,30,0,0,0,4.6000000000000005
2018,1,1,8,30,0,0,0,4.5
2018,1,1,9,30,32,33,22,4.9
2018,1,1,10,30,28,28,0,5.800000000000001
2018,1,1,11,30,41,41,0,6.7
2018,1,1,12,30,6,6,0,7.4
2018,1,1,13,30,6,6,0,7.5
2018,1,1,14,30,4,4,0,6.800000000000001
2018,1,1,15,30,13,13,0,6
2018,1,1,16,30,4,4,0,5.4
2018,1,1,17,30,0,0,0,5.2
2018,1,1,18,30,0,0,0,5.300000000000001
2018,1,1,19,30,0,0,0,5.6000000000000005
2018,1,1,20,30,0,0,0,5.9
2018,1,1,21,30,0,0,0,6
2018,1,1,22,30,0,0,0,5.9
2018,1,1,23,30,0,0,0,5.800000000000001
2018,1,2,0,30,0,0,0,5.800000000000001
2018,1,2,1,30,0,0,0,5.800000000000001
2018,1,2,2,30,0,0,0,5.800000000000001
2018,1,2,3,30,0,0,0,5.5
2018,1,2,4,30,0,0,0,5.300000000000001
2018,1,2,5,30,0,0,0,5.2
2018,1,2,6,30,0,0,0,4.9
2018,1,2,7,30,0,0,0,4.6000000000000005
2018,1,2,8,30,0,0,0,4.4
2018,1,2,9,30,9,9,0,4.6000000000000005
2018,1,2,10,30,15,15,0,5.1000000000000005
2018,1,2,11,30,15,15,0,5.9
2018,1,2,12,30,26,26,0,6.6000000000000005
2018,1,2,13,30,46,46,0,6.7
2018,1,2,14,30,7,7,0,6.4
2018,1,2,15,30,3,3,0,6
2018,1,2,16,30,4,4,0,5.6000000000000005
2018,1,2,17,30,0,0,0,5.5
2018,1,2,18,30,0,0,0,5.800000000000001
2018,1,2,19,30,0,0,0,6.4
2018,1,2,20,30,0,0,0,7.1000000000000005
2018,1,2,21,30,0,0,0,7.6000000000000005
2018,1,2,22,30,0,0,0,8.5
2018,1,2,23,30,0,0,0,9.600000000000001
2018,1,3,0,30,0,0,0,10.4
2018,1,3,1,30,0,0,0,11.200000000000001
2018,1,3,2,30,0,0,0,11.9
2018,1,3,3,30,0,0,0,11.9
2018,1,3,4,30,0,0,0,10.5
2018,1,3,5,30,0,0,0,8.700000000000001
2018,1,3,6,30,0,0,0,7.9
2018,1,3,7,30,0,0,0,7.7
