Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Temperature
2020,1,1,0,30,0,0,0,0.6000000000000001
2020,1,1,1,30,0,0,0,0.8
2020,1,1,2,30,0,0,0,0.4
2020,1,1,3,30,0,0,0,0
2020,1,1,4,30,0,0,0,-0.30000000000000004
2020,1,1,5,30,0,0,0,-0.6000000000000001
2020,1,1,6,30,0,0,0,-0.9
2020,1,1,7,30,0,0,0,-1.2000000000000002
2020,1,1,8,30,0,0,0,-1.4000000000000001
2020,1,1,9,30,28,46,248,-1
2020,1,1,10,30,5,5,0,-0.2
2020,1,1,11,30,34,34,0,1
2020,1,1,12,30,9,9,0,2.1
2020,1,1,13,30,8,8,0,2.6
2020,1,1,14,30,7,7,0,2.6
2020,1,1,15,30,17,17,0,1.3
2020,1,1,16,30,14,17,118,0
2020,1,1,17,30,0,0,0,0
2020,1,1,18,30,0,0,0,0.4
2020,1,1,19,30,0,0,0,0.5
2020,1,1,20,30,0,0,0,0.6000000000000001
2020,1,1,21,30,0,0,0,0.6000000000000001
2020,1,1,22,30,0,0,0,0.6000000000000001
2020,1,1,23,30,0,0,0,0.6000000000000001
2020,1,2,0,30,0,0,0,0.7000000000000001
2020,1,2,1,30,0,0,0,0.8
2020,1,2,2,30,0,0,0,0.9
2020,1,2,3,30,0,0,0,1.1
2020,1,2,4,30,0,0,0,1.2000000000000002
2020,1,2,5,30,0,0,0,1.3
2020,1,2,6,30,0,0,0,1.4000000000000001
2020,1,2,7,30,0,0,0,1.5
2020,1,2,8,30,0,0,0,1.6
2020,1,2,9,30,27,47,267,2
2020,1,2,10,30,49,137,500,2.6
2020,1,2,11,30,23,23,0,3.4000000000000004
2020,1,2,12,30,64,244,655,4.1000000000000005
2020,1,2,13,30,9,9,0,4.7
2020,1,2,14,30,7,7,0,5
2020,1,2,15,30,10,10,0,5
2020,1,2,16,30,3,3,0,4.9
2020,1,2,17,30,0,0,0,4.9
2020,1,2,18,30,0,0,0,5.1000000000000005
2020,1,2,19,30,0,0,0,5.4
2020,1,2,20,30,0,0,0,5.800000000000001
2020,1,2,21,30,0,0,0,6.1000000000000005
2020,1,2,22,30,0,0,0,6.4
2020,1,2,23,30,0,0,0,6.6000000000000005
2020,1,3,0,30,0,0,0,6.800000000000001
2020,1,3,1,30,0,0,0,6.7
2020,1,3,2,30,0,0,0,6.7
2020,1,3,3,30,0,0,0,6.9
2020,1,3,4,30,0,0,0,7.1000000000000005
2020,1,3,5,30,0,0,0,7.300000000000001
2020,1,3,6,30,0,0,0,7.300000000000001
2020,1,3,7,30,0,0,0,7.2
2020,1,3,8,30,0,0,0,7.4
2020,1,3,9,30,3,3,0,8.1
2020,1,3,10,30,8,8,0,9.200000000000001
2020,1,3,11,30,8,8,0,10.3
2020,1,3,12,30,10,10,0,10.9
2020,1,3,13,30,9,9,0,10.700000000000001
2020,1,3,14,30,7,7,0,9.9
2020,1,3,15,30,3,3,0,8.6
2020,1,3,16,30,4,4,0,7.4
2020,1,3,17,30,0,0,0,6.5
2020,1,3,18,30,0,0,0,5.800000000000001
2020,1,3,19,30,0,0,0,5.300000000000001
2020,1,3,20,30,0,0,0,4.800000000000001
2020,1,3,21,30,0,0,0,3.7
2020,1,3,22,30,0,0,0,2.8000000000000003
2020,1,3,23,30,0,0,0,2.4000000000000004
2020,1,4,0,30,0,0,0,2.3000000000000003
2020,1,4,1,30,0,0,0,2.5
2020,1,4,2,30,0,0,0,2.7
2020,1,4,3,30,0,0,0,3
2020,1,4,4,30,0,0,0,3.1
2020,1,4,5,30,0,0,0,2.8000000000000003
2020,1,4,6,30,0,0,0,2.8000000000000003
2020,1,4,7,30,0,0,0,3.1
2020,1,4,8,30,0,0,0,3.7
2020,1,4,9,30,29,47,244,4.7
2020,1,4,10,30,52,139,499,6
2020,1,4,11,30,62,213,614,7.2
2020,1,4,12,30,66,249,659,8.1
2020,1,4,13,30,16,16,0,8.3
2020,1,4,14,30,7,7,0,7.9
2020,1,4,15,30,8,8,0,6.5
2020,1,4,16,30,5,5,0,5.2
2020,1,4,17,30,0,0,0,5
2020,1,4,18,30,0,0,0,5
2020,1,4,19,30,0,0,0,4.7
2020,1,4,20,30,0,0,0,4.3
2020,1,4,21,30,0,0,0,4.1000000000000005
2020,1,4,22,30,0,0,0,4
2020,1,4,23,30,0,0,0,3.8000000000000003
2020,1,5,0,30,0,0,0,3.6
2020,1,5,1,30,0,0,0,3.4000000000000004
2020,1,5,2,30,0,0,0,3.8000000000000003
2020,1,5,3,30,0,0,0,4.1000000000000005
2020,1,5,4,30,0,0,0,3.8000000000000003
2020,1,5,5,30,0,0,0,3.4000000000000004
2020,1,5,6,30,0,0,0,3
2020,1,5,7,30,0,0,0,2.8000000000000003
2020,1,5,8,30,0,0,0,2.9000000000000004
2020,1,5,9,30,7,7,0,3.5
2020,1,5,10,30,5,5,0,4.6000000000000005
2020,1,5,11,30,7,7,0,5.800000000000001
2020,1,5,12,30,9,9,0,6.800000000000001
2020,1,5,13,30,9,9,0,7.4
2020,1,5,14,30,7,7,0,7.2
2020,1,5,15,30,10,10,0,6.300000000000001
2020,1,5,16,30,6,6,0,5.4
2020,1,5,17,30,0,0,0,5.300000000000001
2020,1,5,18,30,0,0,0,5.4
2020,1,5,19,30,0,0,0,5.300000000000001
2020,1,5,20,30,0,0,0,5.2
2020,1,5,21,30,0,0,0,5.1000000000000005
2020,1,5,22,30,0,0,0,5.1000000000000005
2020,1,5,23,30,0,0,0,5
2020,1,6,0,30,0,0,0,4.6000000000000005
2020,1,6,1,30,0,0,0,4.2
2020,1,6,2,30,0,0,0,3.6
2020,1,6,3,30,0,0,0,2.9000000000000004
2020,1,6,4,30,0,0,0,2.3000000000000003
2020,1,6,5,30,0,0,0,1.7000000000000002
2020,1,6,6,30,0,0,0,1.4000000000000001
2020,1,6,7,30,0,0,0,1.2000000000000002
2020,1,6,8,30,0,0,0,1.2000000000000002
2020,1,6,9,30,25,54,372,1.7000000000000002
2020,1,6,10,30,42,151,609,2.9000000000000004
2020,1,6,11,30,50,230,725,4.5
2020,1,6,12,30,52,268,766,5.7
2020,1,6,13,30,51,260,759,6.4
2020,1,6,14,30,46,209,711,6.2
2020,1,6,15,30,35,123,582,4.9
2020,1,6,16,30,10,10,0,3.4000000000000004
2020,1,6,17,30,0,0,0,2.5
2020,1,6,18,30,0,0,0,2.1
2020,1,6,19,30,0,0,0,2
2020,1,6,20,30,0,0,0,2.6
2020,1,6,21,30,0,0,0,3.5
2020,1,6,22,30,0,0,0,4.6000000000000005
2020,1,6,23,30,0,0,0,5.300000000000001
2020,1,7,0,30,0,0,0,5.4
2020,1,7,1,30,0,0,0,5.5
2020,1,7,2,30,0,0,0,5.800000000000001
2020,1,7,3,30,0,0,0,5.800000000000001
2020,1,7,4,30,0,0,0,5.7
2020,1,7,5,30,0,0,0,5.7
2020,1,7,6,30,0,0,0,5.800000000000001
2020,1,7,7,30,0,0,0,5.9
2020,1,7,8,30,0,0,0,6.2
2020,1,7,9,30,4,4,0,6.800000000000001
