Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Temperature
2017,1,1,0,30,0,0,0,6.6000000000000005
2017,1,1,1,30,0,0,0,-3.2
2017,1,1,2,30,0,0,0,-3.6
2017,1,1,3,30,0,0,0,-3.9000000000000004
2017,1,1,4,30,0,0,0,-4
2017,1,1,5,30,0,0,0,-3.9000000000000004
2017,1,1,6,30,0,0,0,-3.8000000000000003
2017,1,1,7,30,0,0,0,-3.6
2017,1,1,8,30,0,0,0,-3.3000000000000003
2017,1,1,9,30,9,9,0,-2.9000000000000004
2017,1,1,10,30,55,133,449,-2.4000000000000004
2017,1,1,11,30,7,7,0,-2
2017,1,1,12,30,8,8,0,-1.5
2017,1,1,13,30,8,8,0,-1.1
2017,1,1,14,30,38,38,1,-1
2017,1,1,15,30,16,16,0,-1
2017,1,1,16,30,6,6,0,-1
2017,1,1,17,30,0,0,0,-1
2017,1,1,18,30,0,0,0,-0.8
2017,1,1,19,30,0,0,0,-0.7000000000000001
2017,1,1,20,30,0,0,0,-0.5
2017,1,1,21,30,0,0,0,-0.2
2017,1,1,22,30,0,0,0,0
2017,1,1,23,30,0,0,0,0.2
2017,1,2,0,30,0,0,0,0.4
2017,1,2,1,30,0,0,0,0.6000000000000001
2017,1,2,2,30,0,0,0,0.9
2017,1,2,3,30,0,0,0,1.1
2017,1,2,4,30,0,0,0,1.3
2017,1,2,5,30,0,0,0,1.2000000000000002
2017,1,2,6,30,0,0,0,0.7000000000000001
2017,1,2,7,30,0,0,0,0.30000000000000004
2017,1,2,8,30,0,0,0,0.4
2017,1,2,9,30,4,4,0,1.6
2017,1,2,10,30,59,139,457,3.4000000000000004
2017,1,2,11,30,51,51,0,4.6000000000000005
2017,1,2,12,30,76,247,621,5.1000000000000005
2017,1,2,13,30,77,238,599,4.7
2017,1,2,14,30,29,29,0,3.4000000000000004
2017,1,2,15,30,35,35,0,1.7000000000000002
2017,1,2,16,30,18,20,76,0.4
2017,1,2,17,30,0,0,0,0.1
2017,1,2,18,30,0,0,0,0.2
2017,1,2,19,30,0,0,0,0.30000000000000004
2017,1,2,20,30,0,0,0,0.30000000000000004
2017,1,2,21,30,0,0,0,0.1
